tourney_year_id,Classification
1973-813,
1973-2036,
1973-2061,
1973-408,
1973-802,
1973-401,
1973-2039,
1973-302,
1973-2038,
1973-481,
1973-355,
1973-332,
1973-818,
1973-657,
1973-2037,
1973-6945,
1973-412,
1973-710,
1973-6835,
1973-656,
1973-652,
1973-659,
1973-2048,
1973-278,
1973-405,
1973-804,
1973-406,
1973-320,
1973-410,
1973-,
1973-436,
1973-254,
1973-389,
1973-508,
1973-2026,
1973-310,
1973-601,
1973-347,
1973-610,
1973-413,
1973-520,Grand Slam
1973-416,
1973-277,
1973-414,
1973-350,
1973-311,
1973-2049,
1973-540,Grand Slam
1973-316,
1973-661,
1973-2050,
1973-314,
1973-417,
1973-706,
1973-317,
1973-319,
1973-418,
1973-343,
1973-663,
1973-422,
1973-2051,
1973-717,
1973-2030,
1973-421,
1973-707,
1973-560,Grand Slam
1973-2042,
1973-2043,
1973-423,
1973-424,
1973-411,
1973-2044,
1973-653,
1973-498,
1973-425,
1973-329,
1973-309,
1973-362,
1973-2045,
1973-2011,
1973-379,
1973-336,
1973-7302,
1973-2046,
1973-429,
1973-427,
1973-2016,
1973-2032,
1973-303,
1973-426,
1973-605,Finals
1974-580,Grand Slam
1974-301,
1974-6836,
1974-2022,
1974-401,
1974-2036,
1974-802,
1974-816,
1974-1603,
1974-660,
1974-312,
1974-650,
1974-302,
1974-2018,
1974-262,
1974-355,
1974-267,
1974-813,
1974-681,
1974-2037,
1974-657,
1974-2038,
1974-237,
1974-710,
1974-2039,
1974-656,
1974-407,
1974-1537,
1974-729,
1974-412,
1974-2034,
1974-804,
1974-2035,
1974-2040,
1974-410,
1974-409,
1974-,
1974-436,
1974-820,
1974-426,
1974-389,
1974-652,
1974-601,
1974-610,
1974-310,
1974-413,
1974-308,
1974-414,
1974-347,
1974-416,
1974-720,
1974-583,
1974-520,Grand Slam
1974-7310,
1974-350,
1974-540,Grand Slam
1974-316,
1974-661,
1974-2029,
1974-314,
1974-317,
1974-319,
1974-411,
1974-418,
1974-422,
1974-706,
1974-717,
1974-663,
1974-421,
1974-417,
1974-343,
1974-707,
1974-2030,
1974-560,Grand Slam
1974-2031,
1974-423,
1974-424,
1974-324,
1974-309,
1974-329,
1974-425,
1974-427,
1974-7308,
1974-2032,
1974-2011,
1974-7302,
1974-337,
1974-494,
1974-336,
1974-429,
1974-1729,
1974-2016,
1974-362,
1974-2033,
1974-303,
1974-254,
1974-2041,
1974-605,Finals
1975-580,Grand Slam
1975-615,
1975-301,
1975-816,
1975-2021,
1975-650,
1975-401,
1975-802,
1975-716,
1975-2022,
1975-660,
1975-1603,
1975-312,
1975-328,
1975-355,
1975-302,
1975-267,
1975-718,
1975-653,
1975-813,
1975-1602,
1975-2023,
1975-407,
1975-206,
1975-262,
1975-2024,
1975-804,
1975-237,
1975-710,
1975-657,
1975-344,
1975-7299,
1975-2025,
1975-410,
1975-412,
1975-409,
1975-656,
1975-729,
1975-278,
1975-652,
1975-426,
1975-389,
1975-,
1975-659,
1975-436,
1975-820,
1975-666,
1975-2026,
1975-,
1975-601,
1975-610,
1975-308,
1975-310,
1975-347,
1975-413,
1975-414,
1975-661,
1975-416,
1975-520,Grand Slam
1975-350,
1975-540,Grand Slam
1975-316,
1975-314,
1975-319,
1975-411,
1975-317,
1975-2027,
1975-418,
1975-422,
1975-717,
1975-705,
1975-663,
1975-421,
1975-343,
1975-417,
1975-707,
1975-560,Grand Slam
1975-423,
1975-2014,
1975-424,
1975-2028,
1975-324,
1975-331,
1975-309,
1975-425,
1975-427,
1975-243,
1975-2011,
1975-362,
1975-7302,
1975-329,
1975-429,
1975-303,
1975-336,
1975-2016,
1975-680,
1975-254,
1975-605,Finals
1975-338,
1976-580,Grand Slam
1976-301,
1976-345,
1976-662,
1976-664,
1976-412,
1976-481,
1976-650,
1976-816,
1976-401,
1976-320,
1976-267,
1976-718,
1976-802,
1976-716,
1976-205,
1976-302,
1976-355,
1976-3935,
1976-665,
1976-652,
1976-407,
1976-653,
1976-651,
1976-328,
1976-660,
1976-658,
1976-402,
1976-295,
1976-657,
1976-710,
1976-813,
1976-656,
1976-404,
1976-659,
1976-344,
1976-237,
1976-278,
1976-,
1976-820,
1976-254,
1976-410,
1976-436,
1976-655,
1976-389,
1976-666,
1976-654,
1976-309,
1976-601,
1976-310,
1976-610,
1976-308,
1976-347,
1976-413,
1976-414,
1976-661,
1976-416,
1976-520,Grand Slam
1976-350,
1976-277,
1976-540,Grand Slam
1976-316,
1976-314,
1976-1725,
1976-422,
1976-317,
1976-319,
1976-418,
1976-663,
1976-705,
1976-343,
1976-717,
1976-421,
1976-417,
1976-707,
1976-560,Grand Slam
1976-2014,
1976-801,
1976-315,
1976-423,
1976-424,
1976-324,
1976-2011,
1976-326,
1976-2015,
1976-425,
1976-427,
1976-7302,
1976-243,
1976-337,
1976-332,
1976-2016,
1976-329,
1976-336,
1976-429,
1976-362,
1976-240,
1976-430,
1976-2017,
1976-303,
1976-426,
1976-361,
1976-605,Finals
1976-338,
1977-580,Grand Slam
1977-7308,
1977-301,
1977-1506,
1977-816,
1977-1725,
1977-401,
1977-660,
1977-802,
1977-716,
1977-7303,
1977-681,
1977-682,
1977-356,
1977-2019,
1977-302,
1977-404,
1977-402,
1977-345,
1977-657,
1977-254,
1977-2008,
1977-652,
1977-710,
1977-206,
1977-813,
1977-407,
1977-262,
1977-423,
1977-,
1977-656,
1977-410,
1977-405,
1977-3933,
1977-2009,
1977-722,
1977-389,
1977-310,
1977-436,
1977-674,
1977-413,
1977-308,
1977-601,
1977-414,
1977-610,
1977-661,
1977-416,
1977-520,Grand Slam
1977-406,
1977-350,
1977-277,
1977-311,
1977-540,Grand Slam
1977-316,
1977-314,
1977-315,
1977-422,
1977-319,
1977-317,
1977-418,
1977-663,
1977-705,
1977-707,
1977-343,
1977-717,
1977-421,
1977-417,
1977-560,Grand Slam
1977-801,
1977-2020,
1977-2059,
1977-2006,
1977-2010,
1977-342,
1977-424,
1977-324,
1977-2011,
1977-326,
1977-309,
1977-425,
1977-427,
1977-243,
1977-337,
1977-328,
1977-332,
1977-7302,
1977-329,
1977-429,
1977-359,
1977-336,
1977-3934,
1977-362,
1977-361,
1977-430,
1977-303,
1977-2012,
1977-333,
1977-1729,
1977-426,
1977-2013,
1977-338,
1977-581,Grand Slam
1977-810,
1977-605,Finals
1978-1506,
1978-1725,
1978-816,
1978-401,
1978-709,
1978-7303,
1978-802,
1978-660,
1978-682,
